08:41:29:559 [ALWAYS]	GUDE Logging Started
08:41:29:561 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
08:41:29:561 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
08:41:29:561 [ERROR]	Initialize resume cache pointer failure
08:41:29:562 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
08:41:29:562 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
08:41:34:506 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
08:41:34:506 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
08:41:34:506 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
08:41:34:506 [ERROR]	Initialize resume cache pointer failure
08:41:34:506 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
08:41:34:506 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
